year,month,day,statefips,State,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,2,28,32,NV,0.0514,0.0314,0.101,0.0314,0.00571,-0.00286,0.00343
2020,2,28,33,NH,0.0429,-0.0257,0.213,0.133,-0.0614,0.00714,-0.00345
2020,2,28,34,NJ,0.0286,0.00429,0.291,0.0243,0.0243,-0.00286,0.00541
2020,2,28,35,NM,0.07,0.0643,0.0243,0.05,0.0229,-0.00714,0.00597
2020,2,28,36,NY,0.0329,0.00143,0.133,0.00571,0.0286,0,0.00259
2020,2,28,37,NC,0.06,-0.00286,0.15,0.0629,0.0271,-0.00714,0.0074
2020,2,28,38,ND,0.0686,0.00571,0.119,0.06,0.0314,-0.00714,0.0124
2020,2,28,39,OH,0.0486,0.0129,0.207,0.0457,0.0143,0,0.00335
2020,2,28,40,OK,0.0743,0.0329,0.0429,0.0586,0.0243,-0.00571,0.00424
2020,2,28,41,OR,0.0829,0.0357,0.367,0.0571,0.0229,-0.01,0.0125
2020,2,28,42,PA,0.0586,0.0171,0.286,0.0343,0.0257,-0.00286,0.00557
2020,2,28,44,RI,0.0771,-0.0229,0.449,0.05,0.0286,-0.00714,0.0101
2020,2,28,45,SC,0.0714,0.0186,0.0686,0.0814,0.0229,-0.00571,0.00813
2020,2,28,46,SD,0.0443,0.0843,0.12,0.0371,0.0129,-0.00143,0.00546
2020,2,28,47,TN,0.0643,0.0257,0.144,0.0471,0.0243,-0.00571,0.00744
2020,2,28,48,TX,0.0657,0.0357,0.0829,0.0429,0.0257,-0.01,0.0111
2020,2,28,49,UT,0.0771,0.104,0.291,0.0614,0.0286,-0.00857,0.0101
2020,2,28,50,VT,0.0529,0.00571,0.131,0.0743,-0.0529,0.00857,-0.00505
2020,2,28,51,VA,0.0471,0.0257,0.154,0.0486,0.0257,-0.00714,0.00983
2020,2,28,53,WA,0.0686,0.0143,0.314,0.06,0.02,-0.00857,0.01
2020,2,28,54,WV,0.0814,0.00714,0.146,0.0429,0.0114,0.00143,0.00106
2020,2,28,55,WI,0.06,0.0357,0.214,0.0414,0.03,-0.00571,0.0108
2020,2,28,56,WY,0.0557,0.0729,0.0614,0.0557,0.0243,-0.00143,0.00243
2020,2,29,1,AL,0.09,0.0414,0.191,0.107,0.01,-0.00571,0.00855
2020,2,29,2,AK,0.0986,0.0429,0.0943,0.05,0.0343,-0.00857,0.0121
2020,2,29,4,AZ,0.0671,0.0329,0.116,0.0686,0.0229,-0.00714,0.00943
2020,2,29,5,AR,0.11,0.0457,0.183,0.04,0.0243,-0.0114,0.0131
2020,2,29,6,CA,0.0386,0.0229,0.147,0.0229,0.0257,-0.00714,0.00832
2020,2,29,8,CO,0.0271,0.0286,-0.0343,0.0157,0.0286,-0.00286,0.0011
2020,2,29,9,CT,0.05,0.00429,0.211,0.0457,0.0257,-0.00429,0.00792
2020,2,29,10,DE,0.0586,0.0214,0.104,0.0371,0.03,-0.00571,0.00869
2020,2,29,11,DC,0.0129,-0.0357,0.0271,0.0343,0.0186,-0.00286,0.0051
2020,2,29,12,FL,0.05,0.0271,0.0614,0.0486,0.0143,-0.00571,0.00783
2020,2,29,13,GA,0.0614,0.0243,0.127,0.0443,0.0186,-0.01,0.0145
2020,2,29,15,HI,0.0171,0.0114,0.0543,0.00429,0.01,0,-0.0000119
2020,2,29,16,ID,0.0886,0.07,0.319,0.0843,0.0329,-0.0143,0.0185
2020,2,29,17,IL,0.0529,0.0457,0.187,0.0314,0.02,-0.00571,0.0117
2020,2,29,18,IN,0.0657,0.0271,0.141,0.0643,0.0114,-0.00143,0.00548
2020,2,29,19,IA,0.0714,0.111,0.257,0.0229,0.0357,-0.0114,0.0177
2020,2,29,20,KS,0.09,0.0214,0.316,0.04,0.0386,-0.0143,0.0177
2020,2,29,21,KY,0.0743,0.0629,0.0957,0.04,0.0186,-0.00286,0.00591
2020,2,29,22,LA,0.15,0.0857,0.316,0.179,-0.0871,0.00571,-0.00123
2020,2,29,23,ME,0.0629,0.0171,0.119,0.106,0.0171,0.00143,0.00273
2020,2,29,24,MD,0.03,0.00571,0.106,0.00714,0.03,-0.00286,0.00541
2020,2,29,25,MA,0.0543,-0.00143,0.221,0.0529,0.0286,-0.00429,0.0071
2020,2,29,26,MI,0.0357,0.00143,0.154,0.114,-0.00429,0.00571,-0.00149
2020,2,29,27,MN,0.06,0.0357,0.0729,0.0586,0.0271,-0.00857,0.013
2020,2,29,28,MS,0.13,0.0571,0.163,0.111,0,-0.0114,0.0153
2020,2,29,29,MO,0.0929,0.0429,0.226,0.0557,0.06,-0.0143,0.02
2020,2,29,30,MT,0.0871,0.0371,0.0257,0.0714,0.0186,-0.00714,0.00943
2020,2,29,31,NE,0.0843,0.0529,0.321,0.0643,0.0271,-0.01,0.0148
2020,2,29,32,NV,0.0614,0.0443,0.124,0.04,0.00857,-0.00571,0.00844
2020,2,29,33,NH,0.0429,-0.0243,0.169,0.113,-0.0643,0.00571,-0.000942
2020,2,29,34,NJ,0.0286,0.00571,0.22,0.0186,0.0243,-0.00286,0.00541
2020,2,29,35,NM,0.0843,0.0786,0.0743,0.0614,0.0271,-0.0114,0.0135
2020,2,29,36,NY,0.0314,0.00286,0.0843,0,0.0286,0.00143,0.0000867
2020,2,29,37,NC,0.0743,0.00714,0.144,0.0757,0.0257,-0.01,0.0124
2020,2,29,38,ND,0.0686,0.0157,0.107,0.0629,0.0329,-0.00714,0.0124
2020,2,29,39,OH,0.0514,0.0143,0.129,0.0443,0.0129,0,0.00335
2020,2,29,40,OK,0.09,0.0471,0.11,0.0714,0.0257,-0.01,0.0118
