year,month,day,statefips,State,case_rate,new_case_rate
2020,2,6,9,CT,0,0
2020,2,6,10,DE,0,0
2020,2,6,11,DC,0,0
2020,2,6,12,FL,0,0
2020,2,6,13,GA,0,0
2020,2,6,15,HI,0,0
2020,2,6,16,ID,0,0
2020,2,6,17,IL,0.0158,0
2020,2,6,18,IN,0,0
2020,2,6,19,IA,0,0
2020,2,6,20,KS,0,0
2020,2,6,21,KY,0,0
2020,2,6,22,LA,0,0
2020,2,6,23,ME,0,0
2020,2,6,24,MD,0,0
2020,2,6,25,MA,0.0145,0.00207
2020,2,6,26,MI,0,0
2020,2,6,27,MN,0,0
2020,2,6,28,MS,0,0
2020,2,6,29,MO,0,0
2020,2,6,30,MT,0,0
2020,2,6,31,NE,0,0
2020,2,6,32,NV,0,0
2020,2,6,33,NH,0,0
2020,2,6,34,NJ,0,0
