year,month,day,statefips,State,RevenueChange
2020,1,22,22,LA,0.0146
2020,1,22,23,ME,-0.0309
2020,1,22,24,MD,-0.0105
2020,1,22,25,MA,0.00544
2020,1,22,26,MI,-0.0372
2020,1,22,27,MN,-0.0644
2020,1,22,28,MS,0.00842
2020,1,22,29,MO,-0.0376
2020,1,22,30,MT,0.021
2020,1,22,31,NE,0.00977
2020,1,22,32,NV,0.00471
2020,1,22,33,NH,0.0248
2020,1,22,34,NJ,-0.0208
2020,1,22,35,NM,-0.0361
2020,1,22,36,NY,-0.0161
2020,1,22,37,NC,-0.00395
2020,1,22,38,ND,-0.0558
2020,1,22,39,OH,0.0275
2020,1,22,40,OK,-0.00909
2020,1,22,41,OR,-0.0104
2020,1,22,42,PA,0.0012
2020,1,22,44,RI,-0.01
2020,1,22,45,SC,0.00591
2020,1,22,46,SD,-0.0192
2020,1,22,47,TN,-0.00181
2020,1,22,48,TX,-0.00141
2020,1,22,49,UT,-0.0149
2020,1,22,50,VT,-0.0409
2020,1,22,51,VA,0.00854
2020,1,22,53,WA,0.00361
2020,1,22,54,WV,0.0123
2020,1,22,55,WI,-0.0349
2020,1,22,56,WY,0.0231
2020,1,23,1,AL,0.0192
2020,1,23,2,AK,-0.0467
2020,1,23,4,AZ,-0.00468
2020,1,23,5,AR,-0.0168
2020,1,23,6,CA,0.0143
2020,1,23,8,CO,-0.00112
2020,1,23,9,CT,-0.00852
2020,1,23,10,DE,-0.0021
2020,1,23,11,DC,-0.0201
2020,1,23,12,FL,0.00396
2020,1,23,13,GA,0.00444
2020,1,23,15,HI,-0.0156
2020,1,23,16,ID,-0.0038
2020,1,23,17,IL,-0.0104
2020,1,23,18,IN,0.00954
2020,1,23,19,IA,-0.049
2020,1,23,20,KS,0.00155
2020,1,23,21,KY,0.00979
2020,1,23,22,LA,0.0219
2020,1,23,23,ME,0.0212
2020,1,23,24,MD,-0.00628
2020,1,23,25,MA,0.00636
2020,1,23,26,MI,-0.0205
2020,1,23,27,MN,-0.0754
2020,1,23,28,MS,0.0232
2020,1,23,29,MO,-0.0472
2020,1,23,30,MT,0.0444
2020,1,23,31,NE,0.00891
2020,1,23,32,NV,0.00796
2020,1,23,33,NH,0.0348
2020,1,23,34,NJ,-0.00976
2020,1,23,35,NM,-0.0286
2020,1,23,36,NY,-0.0119
2020,1,23,37,NC,-0.00242
2020,1,23,38,ND,-0.0296
2020,1,23,39,OH,0.0307
2020,1,23,40,OK,-0.00497
2020,1,23,41,OR,-0.0088
2020,1,23,42,PA,0.00733
2020,1,23,44,RI,0.0113
2020,1,23,45,SC,0.00514
2020,1,23,46,SD,-0.0247
2020,1,23,47,TN,-0.000664
2020,1,23,48,TX,0.00531
2020,1,23,49,UT,-0.0102
2020,1,23,50,VT,-0.0211
2020,1,23,51,VA,0.000755
2020,1,23,53,WA,-0.00455
2020,1,23,54,WV,-0.0211
2020,1,23,55,WI,-0.0227
2020,1,23,56,WY,0.0281
2020,1,24,1,AL,0.00619
2020,1,24,2,AK,-0.0457
2020,1,24,4,AZ,-0.00955
2020,1,24,5,AR,-0.0166
2020,1,24,6,CA,0.00183
2020,1,24,8,CO,0.0147
2020,1,24,9,CT,0.00425
2020,1,24,10,DE,0.0448
2020,1,24,11,DC,0.00179
2020,1,24,12,FL,0.00215
2020,1,24,13,GA,-0.000323
2020,1,24,15,HI,-0.0131
2020,1,24,16,ID,-0.00503
2020,1,24,17,IL,-0.00346
2020,1,24,18,IN,0.00366
2020,1,24,19,IA,0.0174
2020,1,24,20,KS,0.0227
2020,1,24,21,KY,0.00937
2020,1,24,22,LA,0.0188
2020,1,24,23,ME,0.0724
2020,1,24,24,MD,0.0077
2020,1,24,25,MA,0.0293
2020,1,24,26,MI,-0.0235
2020,1,24,27,MN,-0.0376
2020,1,24,28,MS,0.0157
2020,1,24,29,MO,-0.0116
2020,1,24,30,MT,0.0466
2020,1,24,31,NE,0.075
2020,1,24,32,NV,-0.00155
2020,1,24,33,NH,0.0605
2020,1,24,34,NJ,0.00986
2020,1,24,35,NM,-0.017
2020,1,24,36,NY,0.00667
2020,1,24,37,NC,-0.00276
2020,1,24,38,ND,0.0261
2020,1,24,39,OH,0.0307
2020,1,24,40,OK,0.0356
2020,1,24,41,OR,-0.000327
2020,1,24,42,PA,0.0142
2020,1,24,44,RI,0.0373
2020,1,24,45,SC,-0.00649
2020,1,24,46,SD,0.0397
2020,1,24,47,TN,-0.00714
2020,1,24,48,TX,0.0183
2020,1,24,49,UT,0.0102
2020,1,24,50,VT,-0.0123
2020,1,24,51,VA,0.00673
2020,1,24,53,WA,-0.0087
2020,1,24,54,WV,-0.00989
2020,1,24,55,WI,-0.0569
2020,1,24,56,WY,0.0459
2020,1,25,1,AL,0.0119
2020,1,25,2,AK,-0.0394
2020,1,25,4,AZ,-0.00467
2020,1,25,5,AR,-0.0114
2020,1,25,6,CA,-0.00535
2020,1,25,8,CO,0.00788
2020,1,25,9,CT,0.0228
2020,1,25,10,DE,0.049
2020,1,25,11,DC,0.0353
2020,1,25,12,FL,0.00653
2020,1,25,13,GA,0.000729
2020,1,25,15,HI,-0.00344
2020,1,25,16,ID,0.0114
2020,1,25,17,IL,0.0255
2020,1,25,18,IN,0.0235
2020,1,25,19,IA,0.0517
2020,1,25,20,KS,0.00729
2020,1,25,21,KY,0.016
2020,1,25,22,LA,0.0248
2020,1,25,23,ME,0.0718
2020,1,25,24,MD,0.0342
2020,1,25,25,MA,0.0456
2020,1,25,26,MI,0.0215
2020,1,25,27,MN,-0.00105
2020,1,25,28,MS,0.0238
2020,1,25,29,MO,0.00279
